H GaussMeter (Oe),Mx (emu),,,
95.723258,-2.93E-01,7.65762E-05,7.65762E-05,
121.841031,-2.91E-01,0.000135298,0.000135298,
144.01432,-2.88E-01,0.0001184,0.0001184,
169.352245,-2.85E-01,9.6956E-05,9.6956E-05,
189.980154,-2.83E-01,0.000138278,0.000138278,
211.675555,-2.80E-01,0.000106491,0.000106491,
230.456491,-2.78E-01,0.000108186,0.000108186,
258.186443,-2.75E-01,9.0891E-05,9.0891E-05,
280.190815,-2.73E-01,0.000132724,0.000132724,
302.794189,-2.70E-01,9.20743E-05,9.20743E-05,
324.515766,-2.68E-01,0.000130993,0.000130993,
347.417725,-2.65E-01,6.96384E-05,6.96384E-05,
376.137505,-2.63E-01,0.000128538,0.000128538,
399.47694,-2.60E-01,0.000158663,0.000158663,
418.384979,-2.57E-01,7.29911E-05,7.29911E-05,
445.785589,-2.55E-01,0.000130853,0.000130853,
468.712128,-2.52E-01,8.53086E-05,8.53086E-05,
492.156429,-2.50E-01,8.93038E-05,8.93038E-05,
514.551895,-2.48E-01,0.000174069,0.000174069,
531.786445,-2.45E-01,7.10163E-05,7.10163E-05,
559.948982,-2.43E-01,0.000126274,0.000126274,
583.706825,-2.40E-01,0.000111605,0.000111605,
637.467926,-2.34E-01,0.00012766,0.00012766,
692.301079,-2.27E-01,0.000107235,0.000107235,
748.253097,-2.21E-01,0.000103528,0.000103528,
806.208333,-2.15E-01,0.000121998,0.000121998,
863.586349,-2.08E-01,0.000106957,0.000106957,
919.683426,-2.02E-01,0.000114745,0.000114745,
971.973335,-1.96E-01,0.000129322,0.000129322,
1026.101792,-1.89E-01,0.000101536,0.000101536,
1085.194367,-1.83E-01,0.000115719,0.000115719,
1137.044296,-1.77E-01,0.000134959,0.000134959,
1196.321625,-1.69E-01,0.000110567,0.000110567,
1250.587174,-1.63E-01,0.000139102,0.000139102,
1300.909897,-1.56E-01,0.000109325,0.000109325,
1355.792277,-1.50E-01,0.000131153,0.000131153,
1409.165161,-1.43E-01,0.000107838,0.000107838,
1464.804428,-1.37E-01,0.000130489,0.000130489,
1518.448929,-1.30E-01,0.000117216,0.000117216,
1578.167984,-1.23E-01,0.000140442,0.000140442,
1628.010681,-1.16E-01,0.000125183,0.000125183,
1683.928879,-1.09E-01,0.000133791,0.000133791,
1901.432373,-7.99E-02,0.000141875,0.000141875,
2123.4581,-4.84E-02,0.000153267,0.000153267,
